country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_range,pollutant_avg_norm
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-10-10 18:00:00,26.259242,78.216432,NO2,10.0,76.0,25.0,66.0,0.08
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-10-10 18:00:00,26.259242,78.216432,CO,30.0,103.0,31.0,73.0,0.1
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",2025-10-10 18:00:00,26.200388,78.147714,SO2,5.0,10.0,6.0,5.0,0.016666666666666666
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",2025-10-10 18:00:00,19.9629,79.298714,PM10,101.0,270.0,159.0,169.0,0.5266666666666666
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",2025-10-10 18:00:00,19.9629,79.298714,CO,14.0,24.0,19.0,10.0,0.06
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",2025-10-10 18:00:00,19.9775302,79.2337086,PM10,70.0,84.0,82.0,14.0,0.27
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",2025-10-10 18:00:00,19.9775302,79.2337086,CO,34.0,45.0,40.0,11.0,0.13
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2025-10-10 18:00:00,20.918946,74.776388,NO2,7.0,33.0,15.0,26.0,0.04666666666666667
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2025-10-10 18:00:00,20.918946,74.776388,SO2,5.0,15.0,10.0,10.0,0.03
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",2025-10-10 18:00:00,20.918946,74.776388,CO,14.0,32.0,18.0,18.0,0.056666666666666664
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2025-10-10 18:00:00,21.001264,75.565602,PM10,54.0,85.0,73.0,31.0,0.24
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",2025-10-10 18:00:00,22.624758,75.675238,PM2.5,146.0,347.0,228.0,201.0,0.7566666666666667
India,Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",2025-10-10 18:00:00,22.624758,75.675238,OZONE,31.0,77.0,60.0,46.0,0.19666666666666666
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",2025-10-10 18:00:00,23.838586,78.759431,OZONE,25.0,55.0,48.0,30.0,0.15666666666666668
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-10-10 18:00:00,19.10122,74.73339,PM2.5,37.0,66.0,52.0,29.0,0.17
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-10-10 18:00:00,19.10122,74.73339,PM10,63.0,115.0,85.0,52.0,0.28
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-10-10 18:00:00,19.10122,74.73339,NO2,18.0,30.0,22.0,12.0,0.07
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",2025-10-10 18:00:00,19.10122,74.73339,NH3,5.0,7.0,6.0,2.0,0.016666666666666666
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",2025-10-10 18:00:00,20.719516,77.000253,NO2,9.0,48.0,20.0,39.0,0.06333333333333334
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-10-10 18:00:00,20.939198,77.765701,PM2.5,64.0,111.0,79.0,47.0,0.26
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-10-10 18:00:00,20.939198,77.765701,NO2,2.0,21.0,11.0,19.0,0.03333333333333333
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB",2025-10-10 18:00:00,20.939198,77.765701,SO2,4.0,14.0,6.0,10.0,0.016666666666666666
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",2025-10-10 18:00:00,19.87562,75.38731,PM10,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",2025-10-10 18:00:00,19.87562,75.38731,NO2,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB",2025-10-10 18:00:00,19.16485,73.23409,OZONE,11.0,73.0,46.0,62.0,0.15
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-10-10 18:00:00,19.0243902,73.0406721,PM2.5,67.0,168.0,125.0,101.0,0.41333333333333333
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-10-10 18:00:00,19.0243902,73.0406721,PM10,112.0,164.0,141.0,52.0,0.4666666666666667
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-10-10 18:00:00,19.0243902,73.0406721,NO2,4.0,10.0,7.0,6.0,0.02
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB",2025-10-10 18:00:00,19.0243902,73.0406721,NH3,3.0,10.0,5.0,7.0,0.013333333333333334
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",2025-10-10 18:00:00,19.309073,73.057223,CO,22.0,132.0,25.0,110.0,0.08
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2025-10-10 18:00:00,20.555712,74.529236,NH3,1.0,6.0,2.0,5.0,0.0033333333333333335
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2025-10-10 18:00:00,20.555712,74.529236,OZONE,14.0,54.0,39.0,40.0,0.12666666666666668
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2025-10-10 18:00:00,19.296481,72.840923,NO2,12.0,86.0,54.0,74.0,0.17666666666666667
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-10-10 18:00:00,19.065931,72.862131,PM10,110.0,183.0,133.0,73.0,0.44
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",2025-10-10 18:00:00,19.065931,72.862131,CO,8.0,46.0,28.0,38.0,0.09
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-10-10 18:00:00,19.23241,72.86895,CO,18.0,86.0,42.0,68.0,0.13666666666666666
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",2025-10-10 18:00:00,19.23241,72.86895,OZONE,5.0,84.0,50.0,79.0,0.16333333333333333
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",2025-10-10 18:00:00,19.2243333,72.8658113,NO2,1.0,16.0,6.0,15.0,0.016666666666666666
